# word,quad,pos,reformed
# Reformed by script using Examples/oxford.yaml and Examples/non-oxford.yaml

word,quad,pos,reformed
attraction,-,-,attraction
attractive,-,-,attractive
attribute,1,verb,attribute
attribute,2,noun,attribute
atypical,-,-,atypical
auction,1,noun,auction
audience,-,-,audience
auditorium,-,-,auditorium
augment,-,-,augment
August,-,-,August
aunt,-,-,aunt
aura,-,-,aura
austere,-,-,austere
authentic,-,-,authentic
author,1,noun,author
authoritarian,-,-,authoritarian
authoritative,-,-,authoritative
authority,-,-,authority
authorization,-,-,authorization
authorize,-,-,authorize
autobiography,-,-,autobiography
automatic,1,adjective,automatic
automatically,-,-,automatically
automobile,-,-,automobile
autonomous,-,-,autonomous
autonomy,-,-,autonnomy
autumn,-,-,fall
availability,-,-,availability
available,-,-,available
avalanche,-,-,avalanche
avenue,-,-,avenue
average,1,adjective,average
average,2,noun,average
average,3,verb,average
avert,-,-,avert
avoid,-,-,avoid
await,-,-,await
awake,1,adjective,awake
awaken,-,-,awaken
award,1,noun,award
award,2,verb,award
aware,-,-,aware
awareness,-,-,awareness
away,1,adverb,away
awe,1,noun,awe
awesome,-,-,awesome
awful,1,adjective,awful
awkward,-,-,awkward
axe,1,noun,axe
axis,-,-,axis
baby,1,noun,baby
bachelor,-,-,bachelor
back,1,adverb,back
back,2,noun,back
back,3,verb,back
back,4,adjective,back
backbone,-,-,backbone
backfire,-,-,backfire
background,-,-,background
backing,-,-,backing
backpack,-,-,backpack
backslash,-,-,backslash
backup,-,-,backup
backward,-,-,backward
backwards,-,-,backwards
bacon,-,-,bacon
bacteria,-,-,bacteria
bad,1,adjective,bad
badge,-,-,badge
badly,-,-,badly
bad-tempered,-,-,bad-tempered
baffle,1,verb,baffle
bag,1,noun,bag
baggage,-,-,baggage
bail,1,noun,bail
bait,1,noun,bait
bake,-,-,bake
baker,-,-,baker
bakery,-,-,bakery
balance,1,noun,ballance
balance,2,verb,ballance
balanced,-,-,balanced
balcony,-,-,balcony
bald,-,-,bald
ball,1,noun,ball
ballad,-,-,ballad
ballerina,-,-,ballerina
ballet,-,-,ballet
balloon,1,noun,balloon
ballot,1,noun,[ball, ball-lot]
ban,1,noun,ban
ban,2,verb,ban
banal,-,-,banal
banana,-,-,banana
band,1,noun,band
bandage,1,noun,bandage
bang,1,noun,bang
bang,2,verb,bang
banish,-,-,banish
bank,1,noun,bank
banker,-,-,banker
banking,-,-,banking
bankrupt,1,adjective,bankrupt
bankruptcy,-,-,bankruptcy
banner,-,-,banner
banquet,-,-,banquet
baptism,-,-,baptism
baptize,-,-,baptize
bar,1,noun,bar
bar,2,verb,bar
barbaric,-,-,barbaric
barbecue,1,noun,barbecue
bar,-,noun,bar
bare,1,adjective,bare
barely,-,-,barely
bargain,1,noun,bargain
bargain,2,verb,bargain
bark,1,verb,bark
bark,2,noun,bark
barrage,1,noun,barrage
barrel,1,noun,barrel
barren,-,-,barren
barricade,1,noun,barricade
barrier,-,-,barrier
base,1,verb,base
base,2,noun,base
baseball,-,-,base-ball
basement,-,-,basement
basic,-,-,basic
basically,-,-,basically
basics,-,-,basics
basin,-,-,basin
basis,-,-,basis
basket,-,-,basket
basketball,-,-,basketball
bat,1,noun,bat
batch,-,-,batch
bath,1,noun,bath
bathe,1,verb,bathe
bathroom,-,-,bathroom
bathtub,-,-,bathtub
battery,-,-,battery
battle,1,noun,battle
battle,2,verb,battle
battlefield,-,-,battlefield
bay,1,noun,bay
bazaar,-,-,bazaar
be,1,auxiliary verb,be
be,2,verb,be
beach,1,noun,beach
beacon,-,-,beacon
bead,-,-,bead
beak,-,-,beak
beam,1,noun,beam
beam,2,verb,beam
bean,1,noun,bean
bear,1,verb,baer
bear,2,noun,baer
beard,1,noun,beard
beast,-,-,beast
beat,1,verb,beat
beat,2,noun,beat
beautiful,-,-,bewtiful
beauty,-,-,bewty
because,1,conjunction,because
because,2,preposition,because
beckon,-,-,beckon
become,-,-,becum
bed,1,noun,bed
bedroom,-,-,bedroom
bee,-,-,bee
beef,1,noun,beef
beep,-,-,beep
beer,-,-,beer
before,1,conjunction,before
before,2,preposition,before
before,3,adverb,before
beforehand,-,-,beforehand
beg,-,-,beg
beggar,1,noun,beggar
begin,-,-,begin
beginner,-,-,beginner
beginning,-,-,beginning
behalf,-,-,behalf
behave,-,-,behave
behaviour,-,-,behaving
behind,1,preposition adverb,behînd
being,1,noun,beïng
belief,-,-,beleef
believe,-,-,beleeve
believer,-,-,believer
bell,-,-,bell
belly,1,noun,belly
belong,-,-,belong
belongings,-,-,belongings
below,-,preposition,beloe
belt,1,noun,belt
bench,1,noun,bench
benchmark,1,noun,benchmark
bend,1,verb,bend
beneath,-,preposition,beneath
beneficial,-,-,beneficial
beneficiary,-,-,beneficiary
benefit,1,noun,bennefit
benefit,2,verb,bennefit
benign,-,-,benign
berry,-,-,berry
beside,-,-,beside
besides,-,preposition,besides
best,1,adjective,best
best,2,adverb,best
best,3,noun,best
bet,1,verb,bet
bet,2,noun,bet
betray,-,-,betray
betrayal,-,-,betrayal
better,1,adjective,better
better,2,adverb,better
better,3,noun,better
between,-,preposition,between
beverage,-,-,beverage
beware,-,-,beware
bewildered,-,-,bewildered
bewildering,-,-,bewildering
beyond,1,preposition adverb,beyond
bias,1,noun,biäs
biased,-,-,biased
bibliography,-,-,bibliography
bicycle,1,noun,bicycle
bid,1,noun,bid
bid,2,verb,bid
bidder,-,-,bidder
big,1,adjective,big
big-headed,-,-,big-headed
bike,1,noun,bike
bikini,-,-,bikini
bilateral,-,-,bilateral
bilingual,-,-,bilingual
bill,1,noun,bill
billion,-,-,billion
bin,1,noun,bin
bind,1,verb,bînd
binoculars,-,-,binoculars
biography,-,-,biography
biological,-,-,biological
biologist,-,-,biologist
biology,-,-,biöllogy
biotechnology,-,-,biotechnology
bird,-,-,bird
birth,-,-,birth
birthday,-,-,birthday
biscuit,-,-,biscuit
bit,1,adverb pronoun,bit
bit,2,noun,bit
bite,1,verb,bite
bite,2,noun,bite
bitter,1,adjective,bitter
bitterly,-,-,bitterly
bizarre,-,-,bizar
black,1,adjective,black
black,2,noun,black
blackboard,-,-,blackboard
blackmail,1,noun,blackmail
blackmail,2,verb,blackmail
blade,-,-,blade
blame,1,verb,blame
blame,2,noun,blame
bland,-,-,bland
blank,1,adjective,blank
blanket,1,noun,blanket
blare,-,-,blare
blast,1,noun,blast
blast,2,verb,blast
blatant,-,-,blatant
blaze,1,noun,blaze
blaze,2,verb,blaze
bleach,1,noun,bleach
bleak,-,-,bleak
bleed,-,-,bleed
blend,1,verb,blend
bless,-,-,bless
blessing,-,-,blessing
blind,1,adjective,bliind
blind,2,verb,bliind
blind,3,noun,bliind
blink,1,verb,blink
bliss,-,-,bliss
blister,1,noun,blister
blizzard,-,-,blizzard
block,1,noun,block
block,2,verb,block
blog,-,-,blog
bloke,-,-,bloke
blond,-,-,blond
blonde,1,adjective,blond
blood,1,noun,blud
blossom,1,noun,blossom
blossom,2,verb,blossom
blot,1,verb,blot
blouse,-,-,blouse
blow,1,verb,blo
blow,2,noun,blo
blue,1,adjective,blue
blue,2,noun,blue
blunt,1,adjective,blunt
bluntly,-,-,bluntly
blur,1,noun,blur
blur,2,verb,blur
blurred,-,-,blurred
blush,1,verb,blush
board,1,noun,board
board,2,verb,board
boast,1,verb,boast
boast,2,noun,boast
boastful,-,-,boastful
boat,-,-,boat
body,-,-,boddy
bodyguard,-,-,bodyguard
body,-,noun,boddy
boil,1,verb,boil
boiler,-,-,boiler
boiling,-,adverb,boiling
bold,-,-,bold
bolster,1,verb,bolster
bolt,1,noun,bolt
bolt,2,verb,bolt
bomb,1,noun,bomb
bomb,2,verb,bomb
bombard,-,-,bombard
bomber,-,-,bomber
bombing,-,-,bombing
bond,1,noun,bond
bone,1,noun,bone
bonus,-,-,bonus
book,1,noun,bwck
book,2,verb,bwck
bookcase,-,-,bookcase
booking,-,-,booking
booklet,-,-,booklet
bookshelf,-,-,bookshelf
bookshop,-,-,bookshop
boom,1,noun,boom
boom,2,verb,boom
boost,1,verb,boost
boost,2,noun,boost
boot,1,noun,boot
